S/N,LGA,TOWN/WARDS,FOOD,CLOTHING,DANCE,RELIGION,FESTIVALS,MUSIC/INSTRUMENTS,LANGUAGE,DIALECT,GIS LOCATION,LEADERSHIP
1,Odeda,Odeda,"pounded yam, amala, gari, efo riro, assorted soups with smoked fish/goat.","Aso-oke, agbada (men), iro & buba and gele (women); modern clothing day-to-day.
",regberegbe/age-grade style parades for major events ,"Christianity, Islam, and Yoruba traditional practices (shrines, rites).",local town/farm harvest days and participation in broader regional festivals (Ojude-Oba influence in the culture of Ogun State)," talking drum, bata, sekere, local praise-singing; recorded Yoruba popular music.
","Yoruba
",Egba,"7°13′N, 3°31′E","Oba, Chiefs"
2,Odeda,Osiele,"yam, cassava (gari), stews and soups typical of southern Ogun towns.
","(Aso-oke/Ankara) for weddings/funerals; Western clothes for daily life.
","community drum ensembles, funeral and wedding dances.","Christianity, Islam, and Yoruba traditional practices (shrines, rites).","local town days, harvest gatherings; ties into Egba cultural calendar","talk/drum ensembles and recorded Yoruba music commonly played at events.

","Yoruba
",Egba,"7°13′N, 3°31′E","Oba, Baale"
3,Odeda,Oluga,"agrarian diet (yams, cassava, vegetables) — many households eat farm-produced staples.","Yoruba ceremonial attire is used for important social rites; everyday modern clothing otherwise.
",community festivals and ceremonies feature local drum dances;," Christianity, Islam and indigenous practices present.
","local kingdom/town events (e.g., Oluga kingdom gatherings and launch events reported in local news).
","local drumming, praise singers; modern recorded Yoruba music at social events","Yoruba
",Egba,"7°13′N, 3°31′E",Oba
4,Odeda,Olugbo,"typical rural Yoruba staples (yam, amala, soups)",Aso-oke/iro & buba at ceremonies; modern wear daily.,standard local drum dances and age-grade performances,"churches, mosques, traditional worship",local observances and participation in regional Egba festivities,"talking drum, bata and vocal praise tradition.
","Yoruba
",Egba,"7°13′N, 3°31′E","Olu, Oba"
5,Odeda,Baale Ogun,standard Egba/Yoruba staples, typical Yoruba ceremonial dress under local chieftaincy occasions ,chieftaincy installation and age-grade dances are central when baálè events occur,"mixed (Christianity, Islam, traditional).","Baálè installation days, market days and harvest celebrations",drumming ensembles for rites and praise-singing for chiefs.,"Yoruba
",Egba,"7°13′N, 3°31′E",Baale
6,Odeda,Eweje Farm Settlement,"farm-fresh produce — yams, cassava, vegetables dominate the local diet.
", farming community typical clothes plus Yoruba festival attire for special days, harvest/communal labour ceremonies often feature simple drum dances, Christianity and traditional rural Yoruba beliefs; mosques in mixed areas.,harvest/communal festivals and local market days.," local percussive music and work-songs; recorded Yoruba music.
","Yoruba
",Egba,"7°13′N, 3°31′E",Oba
7,Odeda,Ilugun,cassava/yam staples; soups with local vegetables and fish/meat.,Yoruba ceremonial dress for events.,local drum-led dancing at ceremonies and funerals.," Christian churches, mosques, traditional worship.", local community festivals and market days,"talking drums, bata; popular Yoruba songs","Yoruba
",Egba,"7°13′N, 3°31′E",Oba
8,Odeda,Olodo," typical Egba/Yoruba — yam, cassava, vegetable soups.
"," iro & buba, Aso-oke for formal events", community ceremonial dances; drum ensembles., community ceremonial dances; drum ensembles., community ceremonial dances; drum ensembles.,percussive ensembles (talking drum) and praise singing.,"Yoruba
",Egba,"7°13′N, 3°31′E",Baale
9,Odeda,Okiri-Ojule,"rural Yorùbá staples (yam, gari, soups)", typical Yoruba ceremonial clothing for events," performance at weddings/funerals, local age-group dances",mixed religion profile,local rites and market/harvest activities,local drumming and vocalists for praise events,"Yoruba
",Egba,"7°13′N, 3°31′E","Oba, Oloja"
10,Odeda,Apesin, standard regional staples (yam/cassava/vegetable soups),Yoruba traditional dress for ceremonies and modern clothes daily,local drum dances and social event performances," Christianity, Islam and some traditionalists",town/harvest and chieftaincy events," talking drum, bata; local musicians at social events","Yoruba
",Egba,"7°13′N, 3°31′E",Oba
11,Ewekoro,Alalabi,"Egba/Yoruba staples — yam, gari, efo; local small markets supply produce"," Yoruba ceremonial attire (Aso-oke, iro & buba) at weddings and funerals", standard Yoruba drum dances and age-grade processions on special days," Christianity and Islam predominant; Yoruba traditional religion practiced by some.
","town days, Baale/chief installation ceremonies and harvest events",talking drum and bata ensembles; local praise-singing,"Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba
12,Ewekoro,Abese," standard local staples (yam, cassava meals, local soups).",Yoruba traditional dress for ceremonies; contemporary wear for everyday,chieftaincy installation and community festivals include drumming/dance troupes,"churches, mosques and traditional religion presence", Abese has documented recent baale (chieftaincy) events — inauguration days are major communal festivals with processions.,percussion ensembles and praise singers for baale events,"Yoruba
",Egba,"7.2333°N, 3.1833° E",Baale
13,Ewekoro,Abule Ado,"rural Egba staples — yam, cassava and local vegetable soups.", Yoruba ceremonial wear for public events., local drums and dances at weddings/funerals.," Christianity, Islam, and some traditionalists", town days and harvest/market celebrations.,local percussion and recorded Yoruba music,"Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba
14,Ewekoro,Ade Aga,typical region staples,Yoruba cloths for ceremonies,drum-led dances for social occasions,mixed faiths (churches/mosques/traditional).,local age-grade or market/harvest festivals, talking drum and community singers.,"Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba
15,Ewekoro,Adopele," yams, cassava, soups — typical agrarian diet", Yoruba traditional attire at rites/events.,local dance troupes at social ceremonies.," Christianity, Islam, traditional.",town/community festivals and school/market events.," local percussion, praise singing.","Yoruba
",Egba,"7.2333°N, 3.1833° E","Oba, Baale"
16,Ewekoro,Adunbu Bose, standard regional staples (yam/cassava),Yoruba festival clothes for ceremonies., local drumming and dance for ceremonies., mixed; churches and mosques present., local events linked to chieftaincy and harvests.,percussion instruments and recorded Yoruba music.,"Yoruba
",Egba,"7.2333°N, 3.1833° E","Oba, Baale"
17,Ewekoro,Afewosa, yam/cassava staples and soups; local market produce., standard Yoruba ceremonial clothing,community percussion ensembles for rites.,"Christianity, Islam, some traditional practice.", local town observances and market/harvest gatherings., talking drum and local singers.,"Yoruba
",Egba,"7.2333°N, 3.1833° E",Baale
18,Ewekoro,Aga Olodo," regional staples — yam, gari, local soups.", Yoruba ceremonial attire for social events, drumming and dancing at weddings/funerals/age-grade events., Christian/Muslim/traditional mix.,local chieftaincy/town day events., drums and praise singing,"Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba Alagodo
19,Ewekoro,Agbamaya Isale, local staples and market goods, Yoruba traditional wear for ceremonies.,local festival dances and drumming,"Christianity, Islam and traditional practices", local town occasions; small harvest/market celebrations,percussion instruments and vocalists,"Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba
20,Ewekoro,Agbamaya Oke, yam/cassava meals and soups.,Yoruba ceremonial clothing on special days, festival and ceremony drumming/dancing.,mixed faiths in the community,community/market/harvest events,"talking drum, bata and local singers","Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba
21,Odeda,Akonko,"yam, cassava (gari), vegetable soups (efo riro), occasional smoked fish/goat stews","iro & buba, gele, Aso-oke/agbada for men); modern wear daily.
",drum-led community dances at funerals/weddings; age-grade processions on town days,"Christianity, Islam, and Yoruba traditional practices (shrines, rites)."," local town-day/market-day, harvest celebrations and chieftaincy gatherings.
","talking drum, bata, sekere; local praise-singing at ceremonies","Yoruba
",Egba,"7°13′N, 3°31′E",Oba
